Signatura,Denominació comercial,Subgrups,Grups,Categoria,Inici d'activitat,Estat,Municipi,Localitat,Adreça,UTM (X),UTM(Y),Places,Nombre habitacions,Explotador/s,Columna amb nova georeferència
H/1677,DON PEPE,Hotel,Allotjaments,3 estrelles Superior,01/01/1967,Alta,LLUCMAJOR,Arenal (L'),"SAN CRISTOBAL, 43, S/N. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,870.959598","4,372,568.40641",297,154,"PERFONOR, SL (B74022674)",POINT (2.75424493156506 39.502478575353656)
H/1681,VERIMAR,Hostal residència,Allotjaments,2 estrelles,31/08/1967,Alta,LLUCMAJOR,Arenal (L'),"EUROPA, 7. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,939.213982","4,372,020.37267",34,17,"ADAJA NETWORKS, SLU (B57805608)",POINT (2.7550561352146303 39.497542193273716)
H/1682,Na Taconera Sport & Relax,Hotel,Allotjaments,4 estrelles,29/08/1967,Alta,CAPDEPERA,Font De La Cala,"Avinguda CANYAMEL, S/N. 07589 Font De La Cala, CAPDEPERA, Mallorca","538,841.537494","4,391,954.17313",414,210,NA TACONERA HOTEL SA (A07020514),POINT (3.4529029864860816 39.67652949120558)
H/1685,SAHARA,Hotel,Allotjaments,3 estrelles,06/08/1979,Alta,PALMA,Platja De Palma,"CANONGE MATEU ROTGER, S/N. 07600 PALMA, Mallorca","478,931.25805","4,373,172.16691",69,54,"MLL BEST HOTELS MANAGEMENTS, S.L.U. (B07734171)",POINT (2.7549271578766583 39.50792023402977)
H/1706,MAR BLAU,Fonda,Allotjaments,,09/02/1968,Alta,SANTANYÍ,Cala Figuera,"ESGLESIA, 24. 07659 Cala Figuera, SANTANYÍ, Mallorca","514,602.665518","4,353,329.60914",33,16,ANTONIO VIDAL MAS,POINT (3.169426055804376 39.32925974457143)
H/1710,PLAYA SANTA PONSA,Hotel,Allotjaments,3 estrelles,04/04/1968,Alta,CALVIÀ,Santa Ponça,"PUIG DES TEIX, 4. 07180 Santa Ponça, CALVIÀ, Mallorca","455,569.582807","4,374,216.57861",380,209,"AMLA EXPLOTACIONES TURISTICAS, SA (A83791558)",POINT (2.4831206978690834 39.516440222220574)
H/1716,LAS GAVIOTAS SUITES HOTEL & SPA,Hotel,Allotjaments,4 estrelles,17/06/1969,Alta,MURO,Platja De Muro,"DE LA ALBUFERA, 51",,,391,164,HOTEL LAS GAVIOTAS SL (B07027667),
H/1723,LA GOLETA HOTEL DE MAR,Hotel,Allotjaments,4 estrelles,06/07/1967,Alta,POLLENÇA,Port De Pollença,"Carrer SARALEGUI, 118. 07470 Port De Pollença, POLLENÇA, Mallorca","506,879.84256","4,417,025.57294",56,28,"HOTEL RESTAURANTE LA GOLETA, S.L. (B57852063)  des de 27/10/2021",POINT (3.0804848087217938 39.903281249218566)
H/1725,Hotel Blue Sea Mediodía,Hotel,Allotjaments,3 estrelles,01/01/1968,Alta,LLUCMAJOR,Arenal (L'),"Carrer SANT CRISTOFOL, 13. 07600 Arenal (L'), LLUCMAJOR, Mallorca","478,724.978074","4,372,607.19803",339,178,"HOTELS & RESORTS BLUE SEA MANAGEMENT, SL (B57817215)  des de 20/06/2019",POINT (2.75254577359934 39.50282450567008)
H/1726,CORAL PLAYA,Hotel,Allotjaments,4 estrelles,01/01/1968,Alta,CALVIÀ,Magaluf,"TORRENOVA, 41. 07181 Magaluf, CALVIÀ, Mallorca","460,624.488068","4,373,454.23123",358,184,HOPI SA (A07263015),POINT (2.5419699482920106 39.5098178426006)
