Signatura,Denominació comercial,Subgrups,Grups,Categoria,Inici d'activitat,Estat,Municipi,Localitat,Adreça,UTM (X),UTM(Y),Places,Nombre habitacions,Explotador/s,Columna amb nova georeferència
AG/1,SON FERRA,Agroturisme,Allotjaments,,30/06/1992,Alta,ESPORLES,Esporles,"ES VERGER KM.2,5, S/N. 07190 ESPORLES, Mallorca","463,196.156274","4,388,008.79063",11,6,RENTA MEDITERRANEA SL (B07911803),POINT (2.571076234225061 39.64107150283998)
AG/100,SON SIURANA,Agroturisme,Allotjaments,,09/05/2001,Alta,ALCÚDIA,Alcúdia,"C-713 PALMA-ALCUDIA KM.45, S/N. 07400 ALCÚDIA, Mallorca","504,229.32","4,407,189.07",41,17,CAN VERDAL SL (B57953127),POINT (3.0494137059305184 39.81467154150796)
AG/102,CAN RAIÓ,Agroturisme,Allotjaments,,28/05/2001,Alta,SENCELLES,Sencelles,"Polígon 12, PARCELA 119 (FINCA CAN RAIÓ). 07140 SENCELLES, Mallorca","491,252.027815","4,387,853.68653",16,8,"SECTOR RURAL, SL (B57180739)",POINT (2.898049120030565 39.64042112234811)
AG/103,SA MANIGA,Agroturisme,Allotjaments,,11/06/2001,Alta,BUNYOLA,Bunyola,"AFORES. S/N. (7-PARCEL.LA 161), S/N. 07110 BUNYOLA, Mallorca","473,748.08","4,395,039.76",12,6,FINCA SA MANIGA SL (B07966278),POINT (2.6937701570782906 39.704810814498515)
AG/104,S'HORT DE SA BAGURA,Agroturisme,Allotjaments,,29/06/2001,Alta,SANT LLORENÇ DES CARDASSAR,Sant Llorenç Del Cardassar,"DE SA BEGURA. PARCEL.LA 349,8, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca","524,226.6060615","4,389,558.398385",28,11,AGROTURISME S'HORT DE SA BEGURA CB (E57054975),POINT (3.282403519422783 39.65548260126832)
AG/106,SON LLADO,Agroturisme,Allotjaments,,04/09/2001,Alta,CAMPOS,Campos,"Camí DES PALMER, KM 2,3, APT. 157, S/N. 07630 CAMPOS, Mallorca","500,356.253308","4,358,815.25526",20,5,JOSE OLLERS ALCOVER,POINT (3.0041363176381366 39.378813075060876)
AG/107,SA PLETA PEROLA,Agroturisme,Allotjaments,,17/09/2001,Alta,LLUCMAJOR,Llucmajor,"17-PARCEL.LA, 236. 07620 LLUCMAJOR, Mallorca","496,423.14","4,372,316.36",10,5,MICAELA OLIVER VAQUER,POINT (2.958398179363048 39.50045977556885)
AG/108,CA'S XORC,Agroturisme,Allotjaments,4 estrelles,24/10/2001,Alta,SÓLLER,Sóller,"Carretera DEIÀ - SÓLLER, ILLA 63, NÚMERO 238, S/N. 07100 SÓLLER, Mallorca","473,020.78","4,402,563.18",30,15,HOTEL CA'S XORC SL (B07916018),POINT (2.684977817233504 39.77257469860693)
AG/109,SA ROTA DE'N PALERM,Agroturisme,Allotjaments,,28/02/2002,Alta,LLORET DE VISTALEGRE,Lloret De Vistalegre,"Carretera LLORET DE VISTA ALEGRE- MUNTUÏRI.KM 0,8. SA ROTA DE'N PALERM, S/N. 07518 LLORET DE VISTALEGRE, Mallorca","497,964.085247","4,385,460.18039",22,8,SA ROTA DEN PALERM SL (B07983208)  des de 15/03/2019,POINT (2.976280330036993 39.61889704079455)
AG/110,BINICOMPRAT,Agroturisme,Allotjaments,,15/03/2002,Alta,ALGAIDA,Algaida,"Polígon 24-PARCELA,122. 07210 ALGAIDA, Mallorca","492,741.97","4,379,064.26",24,11,MORGATUR SL (B07856446),POINT (2.915509515831279 39.56123868559885)
AG/111,SON PALOU,Agroturisme,Allotjaments,,17/04/2002,Alta,BUNYOLA,Orient,"Polígon 5, PARCEL.LES 8 - 10. 07349 Orient, BUNYOLA, Mallorca","479,384.08","4,398,307.21",30,15,AGROTURISMO SON PALOU ORIENT SL (B57050510),POINT (2.75941145966054 39.734405838139175)
AG/112,MONNABER VELL,Agroturisme,Allotjaments,,02/05/2002,Alta,CAMPANET,Campanet,"TORRE DES COLOMS, POLIGON 10 PARC, 145. 07310 CAMPANET, Mallorca","495,488.69","4,404,587.32",30,15,TORRE D'ES COLOMS SL (B07854243),POINT (2.9473095305139276 39.7912280478261)
AG/113,CASES DE SON DUC,Agroturisme,Allotjaments,,17/06/2002,Alta,ARTÀ,Artà,"Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca","532,939.55","4,391,884.62",8,4,"PAPA PIZZA JANIN, CB (E57256513)",POINT (3.3840823053256557 39.676150798377)
AG/114,ES RAFAL,Agroturisme,Allotjaments,,04/07/2002,Alta,MONTUÏRI,Montuïri,"Carretera LLORET, KM 1'5, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca","498,548.53","4,381,887.12",18,8,ANTONIO RIBAS MOLL,POINT (2.983097302136481 39.58670345248345)
AG/115,SON ESTRANY,Agroturisme,Allotjaments,,04/07/2002,Alta,LLUCMAJOR,Llucmajor,"19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca","494,796.02","4,368,590.14",24,12,JOSE LUIS SANCHEZ TELLEZ,POINT (2.9395025425924017 39.466875979555866)
AG/116,SES CASES DE CAS GARRIGUER,Agroturisme,Allotjaments,,30/07/2002,Alta,VALLDEMOSSA,Valldemossa,"VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca","465,967.914209","4,395,524.19381",20,10,VISTAMAR DE VALLDEMOSSA SL (B07537392),POINT (2.6029909680381 39.70890076661664)
AG/117,SA CASA ROTJA,Agroturisme,Allotjaments,,01/07/2002,Alta,SINEU,Sineu,"SINEU-MURO, KM 3,2. POLIGON 7, PARCELAS 265, 266, 267, 268, S/N. 07510 SINEU, Mallorca","501,820.03446","4,388,507.22653",24,7,PARADIS DES PLA SL (B57908428),POINT (3.021212914433994 39.646352554053884)
AG/118,CAN POMA,Agroturisme,Allotjaments,,03/09/2002,Alta,SÓLLER,Sóller,"SON FERRAGUT, S/N. 07100 SÓLLER, Mallorca","474,848.879044","4,402,819.2752",12,6,CAN POMA SOLLER SL (B07844384),POINT (2.706313490267097 39.77493809961247)
AG/119,SANTA EULALIA,Agroturisme,Allotjaments,,13/11/2002,Alta,SANTA MARGALIDA,Santa Margalida,"SANTA MARGALIDA-ALCUDIA, KM 6. POL. 15. PARCEL.LA 3, S/N. 07450 SANTA MARGALIDA, Mallorca","513,259.087971","4,396,805.83895",24,12,PROFITUR INVERSION SL (B07774003),POINT (3.1547041808455867 39.721024371607015)
AG/12,BALITX D'AVALL CAN GORDO,Agroturisme,Allotjaments,,27/05/1993,Alta,FORNALUTX,Fornalutx,"SOLLER-LLUC, S/N. 07109 FORNALUTX, Mallorca","478,700.805311","4,405,176.22482",19,10,MIGUEL OLIVER Y PASTOR SL (B07709132),POINT (2.751215047195721 39.79627943684733)
AG/120,CAN BOTA,Agroturisme,Allotjaments,,25/11/2002,Alta,FELANITX,Felanitx,"DE SON AMARET, 128. 07200 FELANITX, Mallorca","512,798.006841","4,368,947.82471",14,7,SIGRID SULZER,POINT (3.148786423312522 39.470019500311444)
AG/121,SON MARIMON,Agroturisme,Allotjaments,,25/02/2003,Alta,SANTANYÍ,Santanyí,"7 - PARCELA 780, S/N. 07650 SANTANYÍ, Mallorca","513,974.01","4,357,646.43",18,9,ANTONIA FORTEZA GARI,POINT (3.1622220785229866 39.36816805644133)
AG/122,VALLDEMOSSA,Agroturisme,Allotjaments,,24/04/2003,Alta,VALLDEMOSSA,Valldemossa,"VELLA DE VALLDEMOSSA. 32-33 I PART DE LA 31, S/N. 07170 VALLDEMOSSA, Mallorca","467,424.217887","4,394,961.29144",24,12,"UNION AGRICOLA Y TURISTICA, SL (B07438385)",POINT (2.620007272904996 39.70388582692958)
AG/123,SON BURGUET,Agroturisme,Allotjaments,,05/05/2003,Alta,PUIGPUNYENT,Puigpunyent,"PARCEL·LA 124, POLIGON 3, S/N. 07194 PUIGPUNYENT, Mallorca","462,483.63","4,385,138.06",12,6,"CAN LLOETA, SL (B57597767)",POINT (2.5629352240522714 39.615174918508735)
AG/124,SA FRANQUESA VELLA,Agroturisme,Allotjaments,,06/05/2003,Alta,VILAFRANCA DE BONANY,Vilafranca De Bonany,"PETRA-FELANITX (PM 511, ENCREUAMENT SES BASSES) KM 3,8. POLIGONS 3 I 4, PARCEL.LES 1367,340 I 342, S/N. 07250 VILAFRANCA DE BONANY, Mallorca","512,021.081924","4,377,118.34612",20,9,ANTONI BINIMELIS VALENS,POINT (3.139901666421035 39.543651547212576)
AG/125,CAN BENEÏT,Agroturisme,Allotjaments,5 estrelles,09/05/2003,Alta,SELVA,Caimari,"Polígon 13 PARCEL·LA 70. 07313 Caimari, SELVA, Mallorca","491,826.536964","4,402,503.82995",20,10,"FINCA MIRABONA, SL (B02980563)  des de 04/08/2021",POINT (2.9045628867340993 39.77242822832715)
AG/126,ES TORRENT FALS,Agroturisme,Allotjaments,,15/05/2003,Alta,SANTA MARIA DEL CAMÍ,Santa Maria Del Camí,"POLÍG. 4, PARC. 255, 222, S/N. 07320 SANTA MARIA DEL CAMÍ, Mallorca","480,456.262624","4,390,503.02734",14,7,TORRENT FALS SL UNIPERSONAL (B57064297),POINT (2.772155114912518 39.664113848059394)
AG/127,S'ALQUERIA BLANCA,Agroturisme,Allotjaments,,21/05/2003,Alta,BUNYOLA,Bunyola,"PALMA-SOLLER, KM.13,60, S/N. 07110 BUNYOLA, Mallorca","472,404.63","4,393,616.43",24,12,SA GUBIA BLANCA SL (B57027062),POINT (2.6781585498474243 39.69194403781991)
AG/128,SON SAMPOLI,Agroturisme,Allotjaments,,10/06/2003,Alta,LLUCMAJOR,Llucmajor,"Polígon 16, PARCEL.LA 340. 07620 LLUCMAJOR, Mallorca","493,098.5","4,372,548.03",84,35,SON SAMPOLI SL (B57992745),POINT (2.919727510267872 39.502526988611116)
AG/129,SES ARENES,Agroturisme,Allotjaments,,14/07/2003,Alta,CAMPOS,Campos,"Carretera CAMPOS - COLONIA DE SANT JORDI, KM., 11. 07630 CAMPOS, Mallorca","501,259.425293","4,361,925.82537",27,11,AGRICOLA COLL DE DAMA CB (E57967242),POINT (3.0146285455342032 39.40684079208658)
AG/130,SES ROTES VELLES,Agroturisme,Allotjaments,,14/07/2003,Alta,CAMPOS,Campos,"POLÍGON 16, PARCEL.LA 199, S/N. 07630 CAMPOS, Mallorca","501,541.72","4,355,220.38",24,12,SES ROTGES VELLES MALLORCA S.L (B57922262),POINT (3.0178920402704996 39.34641908987649)
AG/131,CA'S CURIAL,Agroturisme,Allotjaments,,12/09/2003,Alta,SÓLLER,Sóller,"VILLALONGA, 23. 07100 SÓLLER, Mallorca","475,501.21","4,402,477.16",14,7,ANTONIA MARIA GARAU DARDER,POINT (2.713943346800252 39.771874651467606)
AG/132,CAN BESSOL,Agroturisme,Allotjaments,,04/11/2003,Alta,FELANITX,Horta (L'),"Carrer SISENA VOLTA- FINCA  CAN BESSOL, 287. 07669 Horta (L'), FELANITX, Mallorca","518,096.957457","4,362,029.39972",18,7,"FINCA CAN BESSOL, SL (B57314056)",POINT (3.210202912287937 39.40758509753114)
AG/133,SON PONS,Agroturisme,Allotjaments,,10/02/2004,Alta,BÚGER,Búger,"BUGER-SA POBLA KM 1,2  (4, PARCELA 77), S/N. 07311 BÚGER, Mallorca","499,793.28","4,401,246.73",22,11,AGROTURISME SON PONS SL (B57113888),POINT (2.9975866361261847 39.76114076159757)
AG/134,SON TRIAS,Agroturisme,Allotjaments,,22/03/2004,Alta,CALVIÀ,Calvià,"CAPDELLA - PAGUERA KM. 10, S/N. 07184 CALVIÀ, Mallorca","454,037.520624","4,380,686.75007",10,5,FINCA SON TRIAS SL (B07778228),POINT (2.4648506257906044 39.57465661712949)
AG/135,SES BITL·LES,Agroturisme,Allotjaments,,16/06/2004,Alta,SANT LLORENÇ DES CARDASSAR,Sant Llorenç Del Cardassar,"SON MESQUIDA.KM 4.5POLIGONO 7, PARCELA 522, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca","504,793.630337","4,372,609.56521",14,7,ANDRES ALCOVER ANDRE,POINT (3.0557559648457224 39.50309579796898)
AG/136,BINIBONA PARC NATURAL,Agroturisme,Allotjaments,,23/09/2004,Alta,SELVA,Selva,"POLIGON 13, PARCEL·LA 164 Y POLIGON 15 PARCEL·LA 25, S/N. 07314 SELVA, Mallorca","493,131.1","4,404,050.2",49,22,FINCA BINIBONA PARC NATURAL (B07980295),POINT (2.919779373914815 39.78637276156255)
AG/137,SA VALL DE SON MACIA,Agroturisme,Allotjaments,,28/10/2004,Alta,MANACOR,Son Macià,"Polígon 303, 23 - PARCEL.LA. 07509 Son Macià, MANACOR, Mallorca","520,228.107134","4,378,375.28807",14,6,TERESA DURAN FONS,POINT (3.2354529145639446 39.554822930954884)
AG/138,LLENAIRE,Agroturisme,Allotjaments,,12/11/2004,Alta,POLLENÇA,Pollença,"10, PARCEL·LA, 461. 07460 POLLENÇA, Mallorca","505,734.74","4,415,490.72",22,11,LLENAIRE FINCA AGROTURISME SL (B57027609),POINT (3.067075191882532 39.889460811675995)
AG/139,RONDAIA,Agroturisme,Allotjaments,,26/11/2004,Alta,ESPORLES,Esporles,"4, PARCEL.LES 39 I 73, S/N. 07190 ESPORLES, Mallorca","467,168.77","4,390,157.64",15,8,SA SIMENTERA DE CANET (V01671189)  des de 09/06/2022,POINT (2.617266568461904 39.660594675010884)
AG/140,CASES DE SON BARBASSA,Agroturisme,Allotjaments,,26/11/2004,Alta,CAPDEPERA,Capdepera,"CALA MESQUIDA/ CAMI DE SON BARBASSA POL- 4 PARCEL.LA 180 I 181, S/N. 07580 CAPDEPERA, Mallorca","535,923.5","4,397,068.23",40,20,ASESORIA LABORAL Y GESTION EMPRESA SL (B07585532),POINT (3.4191574129711775 39.72273499914346)
AG/141,CAN FELIU,Agroturisme,Allotjaments,,26/11/2004,Alta,PORRERES,Porreres,"SON DAGUETA POLÍGON 4, PARCEL·LES 850 I 906, S/N. 07260 PORRERES, Mallorca","502,644.478605","4,373,072.21326",17,9,SON DAGUETA SL,POINT (3.0307604630394986 39.50727382181772)
AG/142,SON SALA,Agroturisme,Allotjaments,,14/12/2004,Alta,CAMPOS,Campos,"Carretera LLUCMAJOR-CAMPOS, KM 33.POLÍGONO 5, PARC. 664,665, 486, S/N. 07630 CAMPOS, Mallorca","498,032.4187","4,366,221.29598",8,4,"SON SALA, SC (J16577058)  des de 06/06/2018",POINT (2.977133396699502 39.44554464427379)
AG/143,CAN RITO,Agroturisme,Allotjaments,,04/01/2005,Alta,FELANITX,Felanitx,"POLÍGONO, Nº 48, PARCELA 77, S/N. 07200 FELANITX, Mallorca","506,821.12","4,368,269.98",16,8,JOSE LUIS FORTEZA ARTIGUES,POINT (3.079293790801929 39.463979838219664)
AG/144,SES CASES NOVES,Agroturisme,Allotjaments,,30/03/2005,Alta,SANT LLORENÇ DES CARDASSAR,Sant Llorenç Del Cardassar,"SANT LLORENÇ-ARTA, KM 58.3 (6, PARCELAS 457 Y 27), S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca","525,152.021182","4,385,525.08567",20,9,AGROTURISME SES CASES NOVES SL (B57066615),POINT (3.293037329157212 39.61911471789643)
AG/145,SON CARDAIX,Agroturisme,Allotjaments,,30/03/2005,Alta,ARTÀ,Artà,"10, PARCEL.LA 28, S/N. 07570 ARTÀ, Mallorca","527,640.99","4,389,860.27",18,9,SEBASTIAN LLITERAS ROSSELLO,POINT (3.3222162176547934 39.65809893569304)
AG/146,SES CASES D'ES RAFALET,Agroturisme,Allotjaments,,25/04/2005,Alta,MANACOR,Manacor,"27  PARCEL·LA, 98. 07500 MANACOR, Mallorca","514,718.91","4,383,671.22",10,5,MARGALIDA GALMES MEDINA,POINT (3.1714443166892083 39.602653710625255)
AG/147,SA BOLEDA,Agroturisme,Allotjaments,,08/07/2005,Alta,SANTA MARGALIDA,Santa Margalida,"Polígon 12, PARCEL·LA 150. 07450 SANTA MARGALIDA, Mallorca","513,259.087971","4,396,805.83895",14,7,"TANCA LLARGA, SL (B57509630)",POINT (3.1547041808455867 39.721024371607015)
AG/148,NA SET CENTES,Agroturisme,Allotjaments,,30/11/2005,Alta,ARTÀ,Artà,"ARTÀ-CANYAMEL (PARCEL·LA 142, POLÍGON 15), S/N. 07570 ARTÀ, Mallorca","532,934.82","4,392,537.45",10,5,"NA SETCENTES, SL (B07960262)",POINT (3.3840597322567088 39.682033044332684)
AG/149,S'HORT DE SON CAULELLES,Agroturisme,Allotjaments,,31/01/2006,Alta,MARRATXÍ,Cabaneta (La),"CAMI DES MIRADOR SENSE NUMERO, S/N. 07141 Cabaneta (La), MARRATXÍ, Mallorca","479,383.02","4,385,657.09",24,12,SON CAULELLES NOU S.A. (A07304835),POINT (2.759794240717958 39.62042537281007)
AG/15,CA'N COLL,Agroturisme,Allotjaments,,02/09/1993,Alta,SÓLLER,Sóller,"Camí DE CA'N COLL, 1. 07100 SÓLLER, Mallorca","474,848.879044","4,402,819.2752",9,5,"CAN COLL WINE & MORE, SL (B44541373)  des de 28/04/2023",POINT (2.706313490267097 39.77493809961247)
AG/158,CA NA SUSI,Agroturisme,Allotjaments,,17/03/2006,Alta,ESPORLES,Esgleieta (L'),"PALMA-VALLDEMOSSA KM 10,9, S/N. 07190 Esgleieta (L'), ESPORLES, Mallorca","469,187.388403","4,389,500.70867",15,8,SUSANA GOMEZ QUINTANA,POINT (2.640829008875654 39.65475077981512)
AG/159,ALFABIA,Agroturisme,Allotjaments,,20/04/2006,Alta,BUNYOLA,Bunyola,"POLÍGON 8, PARCEL·LA 7, S/N. 07110 BUNYOLA, Mallorca","473,503.41","4,396,534.38",24,10,SINEU INVERSIONES S.L. (B07594609),POINT (2.690856005441433 39.718269959260894)
AG/16,ES PALMER,Agroturisme,Allotjaments,,02/09/1993,Alta,CAMPOS,Campos,"Carretera CAMPOS-COLONIA DE SANT JORDI, KM. 6,4, PARCEL·LA 574, POLÍGON 18, S/N. 07630 CAMPOS, Mallorca","502,158.848178","4,358,084,495",28,14,"ERHARD & STERN ESPAÑA, SL (B16634602)  des de 21/04/2020",POINT (3.0196578149579705 -9.30181304020136)
AG/160,NA MARTINA,Agroturisme,Allotjaments,,20/04/2006,Alta,SANTANYÍ,Portopetro,"POLIGON 7, PARCEL·LA 1262, HABITATGE 401 CARRETERA PORTOPETRO - MONDRAGÓ, S/N. 07650 Portopetro, SANTANYÍ, Mallorca","516,746.52","4,356,586.85",22,11,NA MARTINA SL (B57850968),POINT (3.1943810838182407 39.3585711378854)
AG/161,MIRABÓ DE VALLDEMOSSA,Agroturisme,Allotjaments,,01/06/2006,Alta,VALLDEMOSSA,Valldemossa,"VALLDEMOSSA, KM. 15,970, S/N. 07170 VALLDEMOSSA, Mallorca","467,424.217887","4,394,961.29144",18,9,SON MIRABO SL (B57146979),POINT (2.620007272904996 39.70388582692958)
AG/162,S'ALBENYETA,Agroturisme,Allotjaments,,04/07/2006,Alta,LLUCMAJOR,Llucmajor,"POLIGON 47-PARCEL.LA 274, S/N. 07620 LLUCMAJOR, Mallorca","490,529.15","4,367,390.91",6,3,MARIA MONSERRAT SITJAR CIRERA,POINT (2.889916293656244 39.45603378568655)
AG/163,SANTUARI DE S'OLIVAR,Agroturisme,Allotjaments,,01/09/2006,Alta,ESTELLENCS,Estellencs,"FINCA S'OLIVAR. CARRETERA C-710, KM. 93,5, S/N. 07192 ESTELLENCS, Mallorca","455,086.077688","4,388,914.03944",10,4,FUNDACION S'OLIVAR DE ESTELLENCHS (G07599343),POINT (2.476500655390086 39.64884032707174)
AG/164,ALMOND VALLEY,Agroturisme,Allotjaments,,13/11/2006,Alta,POLLENÇA,Pollença,"Predi CA'N GUILLOT - POLÍGON 7, PARCEL.LA 93, S/N. 07460 POLLENÇA, Mallorca","500,173.39","4,413,551.56",16,8,"PROMA MALLORCA, SL (B16665523)  des de 02/01/2023",POINT (3.002027506049367 39.872008380057494)
AG/165,SON BARCELO MAS,Agroturisme,Allotjaments,,15/11/2006,Alta,CAMPOS,Campos,"POLÍGON. 13, PARCEL·LA 494, 598 I 599, CTRA SANTANYÍ, KM 42, S/N. 07630 CAMPOS, Mallorca","505,156.97","4,362,342.21",27,14,RURAL BARCELO SL (B16514515),POINT (3.059902715616937 39.41057821662532)
AG/166,SON NOT,Agroturisme,Allotjaments,,27/11/2006,Alta,ARTÀ,Artà,"POLIGON 19 PARCEL·LA 79, S/N. 07570 ARTÀ, Mallorca","530,731.42","4,396,535.04",14,7,PEDRO MORELL MORAGUES,POINT (3.35855226298263 39.71813383490156)
AG/167,ROQUETA,Agroturisme,Allotjaments,,27/11/2006,Alta,MARIA DE LA SALUT,Maria De La Salut,"PREDIO ROQUETA, S/N. 07519 MARIA DE LA SALUT, Mallorca","508,108.074464","4,391,630.18132",12,5,AGROTURISMO ROQUETA SL (B57093205),POINT (3.0945397212864143 39.674454870756925)
AG/168,SON CAMINALS,Agroturisme,Allotjaments,,21/03/2007,Alta,ARTÀ,Artà,"PARCELA 233-A, POLIGONO 21, S/N. 07570 ARTÀ, Mallorca","528,173.255827","4,396,129.94822",4,2,ANDRES VIVES ANDREU,POINT (3.328688587988553 39.714572255162025)
AG/169,VARITX PARADÍS,Agroturisme,Allotjaments,,12/03/2007,Alta,POLLENÇA,Pollença,"POLÍGON 7, PARCEL·LA 189, S/N. 07460 POLLENÇA, Mallorca","496,320.47","4,412,598.95",12,6,"CAN LLOBERA DALT, SL (B07980287)  des de 01/12/2021",POINT (2.9569794178690816 39.86341739536645)
AG/170,ES PLA DE LLODRA,Agroturisme,Allotjaments,,24/05/2007,Alta,MANACOR,Manacor,"POLÍGON 24, PARCEL·LA 776 CTRA. MANACOR -FELANITX KM.5, S/N. 07500 MANACOR, Mallorca","516,230.85","4,375,864.24",12,6,MARGARITA DURAN SITGES,POINT (3.188864213537332 39.532282163848954)
AG/172,CAN TORT,Agroturisme,Allotjaments,,18/06/2007,Alta,FELANITX,Felanitx,"POLÍGON 30, PARCEL·LES 19, 20, 53 I 54, S/N. 07200 FELANITX, Mallorca","520,903.11","4,366,542.3",12,6,ANDRES BINIMELIS GARCIAS,POINT (3.242938323681942 39.448185636358666)
AG/174,S'HORT DE CAS MISSÉ,Agroturisme,Allotjaments,,07/12/2007,Alta,SELVA,Selva,"POLÍGON 17, PARCEL·LA 51, S/N. 07313 SELVA, Mallorca","492,046.13","4,400,563.68",16,8,"HORT DE CAS MISSER, SL (B16663999)  des de 06/03/2020",POINT (2.9071504343835763 39.754949248244955)
AG/175,SON OLIVE,Agroturisme,Allotjaments,,07/12/2007,Alta,SELVA,Selva,"Polígon  9, PARCELA 175. 07313 SELVA, Mallorca","493,854.28","4,399,892.99",18,9,"JUTTAS-WORLD, SL (B57629586)",POINT (2.928264138495396 39.74892117370636)
AG/176,DEULOSAL,Agroturisme,Allotjaments,,14/01/2008,Alta,MARIA DE LA SALUT,Maria De La Salut,"PARCEL·LA 196,POLÍGON. 4, S/N. 07519 MARIA DE LA SALUT, Mallorca","507,468.86","4,390,681.62",4,1,CARMEN CALDENTEY PASCUAL,POINT (3.0870757925456176 39.665913870760726)
AG/177,SON ROIG,Agroturisme,Allotjaments,,02/04/2008,Alta,PORRERES,Porreres,"POLIGON 5, PARCEL·LES 201, 202, 203, 206, 207, 208 I 210, S/N. 07260 PORRERES, Mallorca","502,644.478605","4,373,072.21326",24,12,FRANCISCA BONET SUÑER,POINT (3.0307604630394986 39.50727382181772)
AG/178,CAN TORNA,Agroturisme,Allotjaments,,09/04/2008,Alta,ESPORLES,Esporles,"ESPORLES, KM 4,300 (FINCA SON QUINT), S/N. 07190 ESPORLES, Mallorca","465,364.208294","4,389,906.72009",22,11,MORO & MALUS S.L.U (B72915176)  des de 31/08/2023,POINT (2.5962433389787765 39.65826263301715)
AG/179,SON TORRAT,Agroturisme,Allotjaments,,12/05/2008,Alta,PETRA,Petra,"V-PARCELA 357-359, S/N. 07520 PETRA, Mallorca","508,018.91","4,382,663.17",12,6,MATEO MARTI PONS,POINT (3.093391359899458 39.593659704042935)
AG/18,SON SAMA,Agroturisme,Allotjaments,,14/10/1993,Alta,LLUCMAJOR,Llucmajor,"LLUCMAJOR- PORRERES,KM.3'5, S/N. 07620 LLUCMAJOR, Mallorca","491,627.167462","4,371,026.43784",14,6,EXPLOTACIONES AGROPECUARIAS SON SAMA SL (B07167653),POINT (2.902633347378481 39.488803493526525)
AG/180,FILICUMIS,Agroturisme,Allotjaments,,28/08/2008,Alta,LLOSETA,Lloseta,"Polígon 1, PARCEL·LA 3. 07360 LLOSETA, Mallorca","487,870.983287","4,396,718.86237",17,5,HERMANOS RIERA JAUME CB (E07497613),POINT (2.858482809251216 39.720257514947725)
AG/181,MANSION SA CAPELLA,Agroturisme,Allotjaments,,03/12/2008,Alta,SANTA MARGALIDA,Santa Margalida,"POLIGON 5, PARCEL·LA 75,, S/N. 07450 SANTA MARGALIDA, Mallorca","513,259.087971","4,396,805.83895",22,8,"AGROMISTICA SA CAPELLA, SL (B57423394)",POINT (3.1547041808455867 39.721024371607015)
AG/182,AGROTURISME SON PENYA,Agroturisme,Allotjaments,,03/12/2008,Alta,SANT LLORENÇ DES CARDASSAR,Sant Llorenç Del Cardassar,"POLIGON 3, PARCEL·LA 307, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca","524,821.33","4,382,795.48",40,20,HOTEL LLAUT PALACE SL (B57953366),POINT (3.2890823179849207 39.59452980504671)
AG/183,EL ENCINAR,Agroturisme,Allotjaments,,18/02/2009,Alta,SON SERVERA,Son Servera,"PARCEL·LA 185, POLÍGON 17, S/N. 07550 SON SERVERA, Mallorca","531,396.63","4,389,843.59",20,10,ALMUDENA CERDO,POINT (3.365994837395708 39.65781894293452)
AG/184,AMAPOLA,Agroturisme,Allotjaments,,29/04/2009,Alta,CAMPOS,Campos,"POLÍGON 19, PARCEL·LA 548, S/N. CAMPOS, Mallorca","500,149.65","4,362,059.34",20,10,"AMAPOLA 2021, SL (B16780603)  des de 08/11/2021",POINT (3.00173825275767 39.40804476241848)
AG/185,FINCA SERENA MALLORCA,Agroturisme,Allotjaments,,29/04/2009,Alta,MONTUÏRI,Montuïri,"Polígon 8, PARCELA 1. CTRA PINA-MONTUIRI, KM 3. 07230 MONTUÏRI, Mallorca","495,387.82","4,382,152.32",50,18,"UNICO MONTUIRI,SL (B67223545)  des de 14/05/2019",POINT (2.9462882812344273 39.58908183816069)
AG/186,SON CAPELLOT,Agroturisme,Allotjaments,,29/04/2009,Alta,FELANITX,Felanitx,"PARCEL.LES, 132,133,134 DEL POLIGON 53, S/N. 07200 FELANITX, Mallorca","511,748.14","4,367,416.72",17,9,ANTONIA ADROVER MAS,POINT (3.1365540045857654 39.456238283537765)
AG/187,S'HORT DE CANET,Agroturisme,Allotjaments,,19/06/2009,Alta,ESPORLES,Esporles,"VALLDEMOSSA - ESPORLES, KM. 1, POL. 4 PARCELAS 53-54, S/N. ESPORLES, Mallorca","468,213.561917","4,389,730.05265",28,10,"RUSH HOTELS BALEARS, SL (B57717183)",POINT (2.6294666673076232 39.65678154719151)
AG/188,SA TANCA D'ES GARBELLO,Agroturisme,Allotjaments,,06/07/2009,Alta,SANTANYÍ,Cala D'Or,"CTRA. CALONGE-CALA D'OR KM 2.800, S/N. 07650 Cala D'Or, SANTANYÍ, Mallorca","518,921.029394","4,359,915.88447",16,8,CATHLEEN HUBERT (X8403025K),POINT (3.2197149996213157 39.388523213989934)
