DATA_HI,PERÍODE_HI,NO_HI,NO2_HI,PM10_HI,TMP_HI,O3_HI
01/01/2020,1,1,5,21,9.7,31
01/01/2020,2,1.3,6,18,9.4,28
01/01/2020,3,1,5,15,8.3,24
01/01/2020,4,1,3,13,8.8,30
01/01/2020,5,1.7,3,20,9.6,25
01/01/2020,6,9.3,8,21,10.1,22
01/01/2020,7,1,5,15,10.3,23
01/01/2020,8,1.8,6,18,10.6,17
01/01/2020,9,4.8,6,19,11.4,19
01/01/2020,10,3.7,6,24,13.3,34
01/01/2020,11,1,2,19,14,59
01/01/2020,12,1,2,22,14.2,63
01/01/2020,13,1,2,22,14.5,65
01/01/2020,14,1,3,22,14.7,65
01/01/2020,15,1,3,17,14.2,69
01/01/2020,16,1,2,19,14.2,70
01/01/2020,17,1.4,6,28,13.3,59
01/01/2020,18,2.5,12,27,11,30
01/01/2020,19,1.3,12,29,9.2,22
01/01/2020,20,1.6,6,22,8.6,31
01/01/2020,21,1.3,8,25,8.5,29
01/01/2020,22,1,6,24,8.3,30
01/01/2020,23,1,3,21,8.2,31
01/01/2020,24,1,2,25,8.2,30
02/01/2020,1,1,2,20,8,24
02/01/2020,2,1.7,2,19,8.6,28
02/01/2020,3,1,2,23,9.5,30
02/01/2020,4,1,2,20,9.9,29
02/01/2020,5,1,5,20,10.5,25
02/01/2020,6,5.9,10,22,11,24
02/01/2020,7,32.4,23,,10.8,13
02/01/2020,8,28.2,22,,10.5,5
02/01/2020,9,,,,12.3,37
02/01/2020,10,3.2,17,24,14,51
02/01/2020,11,2.6,13,25,14.2,55
02/01/2020,12,1.9,9,23,14.4,60
02/01/2020,13,1,5,18,14.5,65
02/01/2020,14,1,4,17,14.8,68
02/01/2020,15,1.8,7,19,14.9,64
02/01/2020,16,2.9,8,16,14.7,59
02/01/2020,17,2.9,6,29,13.5,52
02/01/2020,18,5.9,12,26,12.8,36
02/01/2020,19,2.6,8,25,12.6,31
02/01/2020,20,1.8,10,29,12.5,40
02/01/2020,21,1,8,24,13.1,50
02/01/2020,22,1,5,20,13.2,58
02/01/2020,23,1,4,19,12.9,49
02/01/2020,24,1,2,18,12.9,47
03/01/2020,1,1,2,21,12.7,42
03/01/2020,2,1,2,25,12.9,69
03/01/2020,3,1,2,20,12.9,72
03/01/2020,4,1,2,17,13,72
03/01/2020,5,1,2,13,12.9,70
03/01/2020,6,2.3,10,20,12.9,63
03/01/2020,7,2,15,24,12.9,58
03/01/2020,8,1.6,16,22,13,57
03/01/2020,9,7.8,31,16,13.3,40
03/01/2020,10,3.3,15,21,13.7,55
03/01/2020,11,2.2,10,20,14,64
03/01/2020,12,2.1,10,21,14.1,66
03/01/2020,13,1.3,9,15,14.1,68
03/01/2020,14,1,7,15,14.1,70
03/01/2020,15,1,9,10,14,69
03/01/2020,16,1,12,21,14,64
03/01/2020,17,1,11,31,14,64
03/01/2020,18,3.3,9,25,14,64
03/01/2020,19,1,3,21,13.5,68
03/01/2020,20,1,3,28,12.6,65
03/01/2020,21,1,5,30,12.5,57
03/01/2020,22,1,3,25,12.5,52
03/01/2020,23,1,2,18,11.7,47
03/01/2020,24,1,2,20,11.5,42
04/01/2020,1,1,3,27,11.3,36
04/01/2020,2,1,2,30,10.9,32
04/01/2020,3,1,2,28,11.4,39
04/01/2020,4,1,2,21,12,44
04/01/2020,5,1,2,23,12.4,48
04/01/2020,6,2,4,23,12.4,50
04/01/2020,7,5.5,6,24,12.3,46
04/01/2020,8,22.8,19,21,11.5,28
04/01/2020,9,9,14,29,13.4,33
04/01/2020,10,2.2,9,22,14.1,43
04/01/2020,11,1.5,8,29,14,47
04/01/2020,12,1,8,23,14.5,52
04/01/2020,13,1.3,7,21,14.7,55
04/01/2020,14,1,7,21,14.5,56
04/01/2020,15,1,6,25,14,56
04/01/2020,16,1,5,22,13.6,60
04/01/2020,17,1,3,25,12.9,63
04/01/2020,18,1,2,22,12.7,66
04/01/2020,19,1,2,25,12.7,66
04/01/2020,20,1,2,22,12.5,66
04/01/2020,21,1,2,27,12.6,66
04/01/2020,22,1,2,19,12.7,64
04/01/2020,23,1,2,25,12.7,59
04/01/2020,24,1,2,25,12.5,58
05/01/2020,1,1,2,20,12.4,58
05/01/2020,2,1,2,16,12.4,59
05/01/2020,3,1,2,15,12.3,58
05/01/2020,4,1,2,19,12.2,60
05/01/2020,5,1,2,19,12.2,61
05/01/2020,6,1,2,22,12.3,60
05/01/2020,7,1,2,20,12.3,57
05/01/2020,8,1,2,18,12.5,57
05/01/2020,9,1,2,21,13.2,55
05/01/2020,10,1,2,21,13.9,56
05/01/2020,11,1.6,5,26,14.2,53
05/01/2020,12,1,5,15,14.5,56
05/01/2020,13,1,5,25,14.9,59
05/01/2020,14,1,5,18,14.8,62
05/01/2020,15,1,4,19,14.5,64
05/01/2020,16,1,2,25,14.1,64
05/01/2020,17,1,3,30,12.9,65
05/01/2020,18,1.3,2,23,12.4,62
05/01/2020,19,1,2,17,11.4,68
05/01/2020,20,1,2,17,11.2,68
05/01/2020,21,1,2,20,11.4,67
05/01/2020,22,1,2,29,12.2,67
05/01/2020,23,1,2,41,12.6,66
05/01/2020,24,1,2,,12.8,63
06/01/2020,1,1,2,41,12.7,67
06/01/2020,2,1,2,27,12.7,64
06/01/2020,3,1,2,23,13,66
06/01/2020,4,1,2,26,13.1,66
06/01/2020,5,1,2,23,12.8,60
06/01/2020,6,6.3,17,21,13,38
06/01/2020,7,1.3,7,22,12.5,36
06/01/2020,8,1,4,23,12.5,47
06/01/2020,9,1.8,5,21,12.7,48
06/01/2020,10,1.5,5,24,13.1,46
06/01/2020,11,1.7,5,36,13.7,53
06/01/2020,12,1.6,5,21,13.8,63
06/01/2020,13,1,2,30,13.9,68
06/01/2020,14,1,2,30,14,68
06/01/2020,15,1,2,24,13.9,69
06/01/2020,16,1,2,25,13.8,67
06/01/2020,17,1,4,30,13.5,56
06/01/2020,18,2,8,25,12.3,40
06/01/2020,19,2,10,20,10.6,34
06/01/2020,20,1.3,9,21,10,34
06/01/2020,21,1,4,23,9.2,35
06/01/2020,22,1,3,22,8.8,31
06/01/2020,23,1,3,16,8.3,28
06/01/2020,24,1,2,17,8.1,28
07/01/2020,1,1,2,21,7.7,24
07/01/2020,2,1.4,2,17,7.4,25
07/01/2020,3,1.7,3,17,7.5,26
07/01/2020,4,1,2,21,6.8,23
07/01/2020,5,1.6,3,11,6.5,17
07/01/2020,6,9.6,8,13,6.6,17
07/01/2020,7,37.8,29,21,7.2,11
07/01/2020,8,35.2,25,22,7.2,7
07/01/2020,9,82.6,45,22,11.1,8
07/01/2020,10,10.5,18,25,13.9,35
07/01/2020,11,4.4,12,25,13.8,56
07/01/2020,12,4,11,23,14.2,61
07/01/2020,13,2.6,8,27,14.3,63
07/01/2020,14,1,5,29,14.5,65
07/01/2020,15,2.4,7,16,14.7,63
07/01/2020,16,2.5,8,21,14.1,69
07/01/2020,17,1,8,30,13,68
07/01/2020,18,1,6,27,12.3,70
07/01/2020,19,1,4,23,11.8,62
07/01/2020,20,1,2,,12.1,61
07/01/2020,21,1,2,,12.2,62
07/01/2020,22,1,2,,12,63
07/01/2020,23,1,2,,12.1,64
07/01/2020,24,1,2,,12.2,65
08/01/2020,1,1,2,,12.5,64
08/01/2020,2,1,3,,12.6,59
08/01/2020,3,1,2,,12.8,60
08/01/2020,4,1,2,,12.8,57
08/01/2020,5,1,3,,12.6,51
08/01/2020,6,1.7,5,,12.5,46
08/01/2020,7,5.3,8,,12.4,53
08/01/2020,8,5,9,,12.3,51
08/01/2020,9,6.4,10,,13,51
08/01/2020,10,2.4,6,,13.6,53
08/01/2020,11,1.8,7,,14,58
08/01/2020,12,2.3,7,,14.1,61
08/01/2020,13,1.6,6,,14.1,62
08/01/2020,14,1.6,6,,14.1,64
08/01/2020,15,2,7,,13.8,68
08/01/2020,16,1.8,5,,13.4,71
08/01/2020,17,1.4,5,,12.9,74
08/01/2020,18,1.6,6,,12.3,72
08/01/2020,19,2.5,7,,11.9,66
08/01/2020,20,1,4,,11.7,68
08/01/2020,21,1.5,8,,10.7,47
08/01/2020,22,1,7,,9.5,33
08/01/2020,23,1,3,,8.5,33
08/01/2020,24,1,2,,7.9,28
09/01/2020,1,1,2,,7.8,25
09/01/2020,2,1,2,,7.5,26
09/01/2020,3,2.3,5,,7.6,31
09/01/2020,4,1.8,3,,7.4,31
09/01/2020,5,2.2,3,,7.2,27
09/01/2020,6,4.8,9,,6.9,19
09/01/2020,7,47.1,26,,7,15
09/01/2020,8,40.1,29,,7.7,19
09/01/2020,9,11.6,18,,11.4,31
09/01/2020,10,4.6,11,,13.9,51
09/01/2020,11,3.9,13,,14.7,61
09/01/2020,12,4.3,13,,15.1,65
09/01/2020,13,1.5,8,,15.5,70
09/01/2020,14,1.8,7,,15.5,72
09/01/2020,15,1.4,7,,15.1,72
09/01/2020,16,4.1,19,,14.7,61
09/01/2020,17,1.7,17,,13.6,56
09/01/2020,18,7.9,33,,11.8,20
09/01/2020,19,4,22,,10.1,22
09/01/2020,20,1.6,11,,10.2,44
09/01/2020,21,1,8,,9.7,39
09/01/2020,22,1,6,,9.4,43
09/01/2020,23,1,2,,8.7,37
09/01/2020,24,1,2,,8.5,37
10/01/2020,1,1,2,,8.4,39
10/01/2020,2,1,2,,8,33
10/01/2020,3,1,2,,7.7,29
10/01/2020,4,1,2,,7.7,25
10/01/2020,5,1.3,5,,9,24
10/01/2020,6,4.4,5,,8.7,17
10/01/2020,7,17.8,15,,9.1,14
10/01/2020,8,33.5,24,,9.9,11
10/01/2020,9,29.9,31,,11,9
10/01/2020,10,7.3,15,,11.8,47
10/01/2020,11,1.5,4,,11.1,63
10/01/2020,12,2.2,2,,11.9,62
10/01/2020,13,1.3,2,,12.1,61
10/01/2020,14,1.3,2,,11.8,63
10/01/2020,15,1,2,,11.8,61
10/01/2020,16,1,2,,12.1,60
10/01/2020,17,1,2,,11.7,61
10/01/2020,18,1,2,,11.9,61
10/01/2020,19,1,2,,12.1,62
10/01/2020,20,1,2,,12.2,62
10/01/2020,21,1,2,,12.1,63
10/01/2020,22,1,2,,12,62
10/01/2020,23,1,2,,11.8,63
10/01/2020,24,1,2,,12,62
11/01/2020,1,1,2,,11.9,61
11/01/2020,2,1,2,,11.9,60
11/01/2020,3,1,2,,11.6,60
11/01/2020,4,1,2,,11.5,60
11/01/2020,5,1,2,,11.5,60
11/01/2020,6,1,2,,11.5,60
11/01/2020,7,1,2,,11.3,61
11/01/2020,8,1.3,2,,11.1,60
11/01/2020,9,1.3,2,,11.2,60
11/01/2020,10,1.3,3,,11.7,59
11/01/2020,11,1.3,2,,11.9,59
11/01/2020,12,1.5,3,,12.1,60
11/01/2020,13,1.3,3,,12.4,60
11/01/2020,14,1,2,,12.2,60
11/01/2020,15,1,2,,12.2,62
11/01/2020,16,1,2,,11.9,61
11/01/2020,17,1.5,2,,11.4,61
11/01/2020,18,1.3,2,,11.6,62
11/01/2020,19,1.3,2,,11.4,63
11/01/2020,20,1,2,,11.6,63
11/01/2020,21,1,2,,11.6,62
11/01/2020,22,1,2,,11.4,63
11/01/2020,23,1.3,2,,11.3,62
11/01/2020,24,1,2,,11.4,64
12/01/2020,1,1,2,,11.7,64
12/01/2020,2,1,2,,11.8,64
12/01/2020,3,1,2,,11.8,64
12/01/2020,4,1,2,,11.7,64
12/01/2020,5,1,2,,11.6,65
12/01/2020,6,1,2,,11.3,65
12/01/2020,7,1,2,,11,64
12/01/2020,8,1.6,2,,10.9,61
12/01/2020,9,1.3,2,,11.7,58
12/01/2020,10,1.3,3,,12.5,58
12/01/2020,11,1,3,,12.7,58
12/01/2020,12,1.3,3,,12.9,58
12/01/2020,13,1.8,4,,12.9,58
12/01/2020,14,1,2,,12.9,61
12/01/2020,15,1,2,,12.5,62
12/01/2020,16,1.7,3,,12.5,60
12/01/2020,17,1.4,3,,12.1,60
12/01/2020,18,1,5,,11.8,54
12/01/2020,19,1.8,7,,11.1,44
12/01/2020,20,1,9,,11,43
12/01/2020,21,1,5,,10.7,49
12/01/2020,22,1,2,,10.1,46
12/01/2020,23,1,5,,8.6,27
12/01/2020,24,1,2,,7.7,22
13/01/2020,1,1,2,,7.2,23
13/01/2020,2,1.5,2,,6.7,21
13/01/2020,3,2.4,3,,6.4,21
13/01/2020,4,1.3,3,,6,17
13/01/2020,5,1.5,5,,6.1,15
13/01/2020,6,5.9,13,,5.6,10
13/01/2020,7,16.2,18,,5.4,6
13/01/2020,8,74.9,36,,5.7,4
13/01/2020,9,63.8,38,,9.8,4
13/01/2020,10,17,33,,12.6,29
13/01/2020,11,3.7,16,,12.8,54
13/01/2020,12,3.6,13,,13.5,62
13/01/2020,13,1.3,8,,13.6,67
13/01/2020,14,1,7,,13.3,69
13/01/2020,15,1.3,8,,13.5,69
13/01/2020,16,1.3,10,,13.6,69
13/01/2020,17,6.6,25,,12.9,48
13/01/2020,18,9,26,,10.7,16
13/01/2020,19,7.5,19,,9.5,13
13/01/2020,20,7.8,25,,9.8,29
13/01/2020,21,1.3,6,,11.1,70
13/01/2020,22,1,3,,11.5,74
13/01/2020,23,1,3,,11.6,76
13/01/2020,24,1,2,,12,77
14/01/2020,1,1,2,,12,78
14/01/2020,2,1,2,,12.1,78
14/01/2020,3,1,2,,12.1,78
14/01/2020,4,1,2,,12,77
14/01/2020,5,1,2,,12,78
14/01/2020,6,1.4,8,,11.9,71
14/01/2020,7,1.3,13,,12.1,67
14/01/2020,8,1,13,,12.3,68
14/01/2020,9,1.9,11,,12.7,67
14/01/2020,10,1.7,11,,13.4,67
14/01/2020,11,2.5,11,,14.1,67
14/01/2020,12,1.3,9,,14.3,71
14/01/2020,13,1.6,9,,14.5,71
14/01/2020,14,1,6,,14.1,75
14/01/2020,15,1,7,,14.1,77
14/01/2020,16,1,9,,13.9,77
14/01/2020,17,1.5,10,,13,76
14/01/2020,18,1,11,,12.2,74
14/01/2020,19,1,8,,11.9,77
14/01/2020,20,1,6,,12,81
14/01/2020,21,1,5,,12.2,82
14/01/2020,22,1,3,,11.9,81
14/01/2020,23,1.3,3,,12.2,79
14/01/2020,24,1,2,,12.1,78
15/01/2020,1,1,3,,12.3,78
15/01/2020,2,1,3,,12.4,76
15/01/2020,3,1,2,,12.4,73
15/01/2020,4,1.3,3,,12.8,76
15/01/2020,5,1,3,,12.8,75
15/01/2020,6,15.9,35,,12.9,49
15/01/2020,7,2,16,,13.1,63
07/08/2020,14,,,,,
15/01/2020,8,4.2,21,,13.2,60
15/01/2020,9,2.6,13,,13.5,64
15/01/2020,10,1.5,10,,14.1,65
15/01/2020,11,1.6,10,,14.5,67
15/01/2020,12,2.3,10,,14.8,73
15/01/2020,13,1.9,9,,15.1,73
15/01/2020,14,1,7,,15.2,75
15/01/2020,15,1.3,10,,14.7,75
15/01/2020,16,1,6,,14.1,74
15/01/2020,17,8.5,27,,13.8,41
15/01/2020,18,26.3,46,,12.1,7
15/01/2020,19,6.2,32,,10.8,9
15/01/2020,20,3.1,16,,10.1,19
15/01/2020,21,,,,9.1,18
15/01/2020,22,1.7,8,,8.3,18
15/01/2020,23,1,5,,8.1,25
15/01/2020,24,1,4,,7.7,25
16/01/2020,1,1,4,,7.5,26
16/01/2020,2,1,2,,7.1,24
16/01/2020,3,1,2,,6.9,23
16/01/2020,4,1.5,3,,6.9,26
16/01/2020,5,,,,6.9,28
16/01/2020,6,17.9,21,,7.5,23
16/01/2020,7,34.2,33,,7.1,7
16/01/2020,8,40.3,45,,8.2,5
16/01/2020,9,33.3,46,,11.6,13
16/01/2020,10,11.7,27,,13.7,39
16/01/2020,11,3.1,14,,14.5,57
16/01/2020,12,4.2,14,,15.1,62
16/01/2020,13,1.6,9,,15.1,67
16/01/2020,14,1,7,,14.7,70
16/01/2020,15,1.6,9,,15.3,70
16/01/2020,16,1,9,,14.7,70
16/01/2020,17,1.8,18,,13.8,58
16/01/2020,18,11.1,43,,12.2,22
16/01/2020,19,3.6,19,,10.8,32
16/01/2020,20,1,6,,11.3,54
16/01/2020,21,1,3,,11.6,57
16/01/2020,22,1,5,,11.5,58
16/01/2020,23,2,5,,11.5,62
16/01/2020,24,1,2,,11.8,66
17/01/2020,1,1,3,,12.2,71
17/01/2020,2,1,2,,12.2,75
17/01/2020,3,1,2,,12.3,76
17/01/2020,4,1,2,,12.3,76
17/01/2020,5,1,2,,12.5,75
17/01/2020,6,1,3,,12.4,74
17/01/2020,7,1,5,,12.5,74
17/01/2020,8,1,4,,12.5,71
17/01/2020,9,1.5,7,,13.3,67
17/01/2020,10,1.3,5,,14,69
17/01/2020,11,1,7,,14.9,68
17/01/2020,12,1,7,,15.5,68
17/01/2020,13,1,7,,15.9,70
17/01/2020,14,1,9,,15.9,72
17/01/2020,15,1,6,,15.4,73
20/01/2020,1,,,,10.7,64
17/01/2020,16,1,6,,15,74
17/01/2020,17,1,5,,14.2,73
17/01/2020,18,1,5,,13.9,70
17/01/2020,19,1,5,,13.9,67
17/01/2020,20,1,6,,12.9,63
17/01/2020,21,1,2,,11.7,66
17/01/2020,22,1,2,,11.2,69
17/01/2020,23,1,2,,10.8,68
17/01/2020,24,1,2,,10.4,63
18/01/2020,1,1,2,,10.2,61
18/01/2020,2,5,7,,9.6,52
18/01/2020,3,1,2,,9,36
18/01/2020,4,1,2,,7.9,28
18/01/2020,5,1.6,3,,7.6,32
18/01/2020,6,1.6,6,,7.1,24
18/01/2020,7,3.2,12,,7.3,25
18/01/2020,8,11,19,,8.8,26
18/01/2020,9,6.6,17,,10.7,37
18/01/2020,10,6.4,18,,12.8,48
18/01/2020,11,1.8,8,,13.9,64
18/01/2020,12,1.3,6,,13.8,66
18/01/2020,13,1,7,,14.3,66
18/01/2020,14,1,6,,14.7,69
18/01/2020,15,1,5,,14.3,71
18/01/2020,16,1,5,,14.4,71
18/01/2020,17,1,5,,13.8,67
18/01/2020,18,1.8,11,,12.5,50
18/01/2020,19,1.7,12,,11.7,44
18/01/2020,20,1,7,,11.5,52
18/01/2020,21,1,5,,12.4,65
18/01/2020,22,10.3,11,,11,47
18/01/2020,23,1.4,4,,11.7,59
18/01/2020,24,1,2,,11.8,54
19/01/2020,1,1,2,,11.9,48
19/01/2020,2,1,2,,12,48
19/01/2020,3,1,2,,12,41
19/01/2020,4,1,2,,11.8,35
19/01/2020,5,1.3,3,,11.5,32
19/01/2020,6,1,2,,11.6,45
19/01/2020,7,1,2,,11.7,48
19/01/2020,8,1.4,3,,11.8,50
19/01/2020,9,1.3,3,,12,57
19/01/2020,10,1.3,3,,11.9,57
19/01/2020,11,1,3,,12.3,58
19/01/2020,12,1,2,,12.2,60
19/01/2020,13,1,2,,11.4,63
19/01/2020,14,1,2,,11.1,66
19/01/2020,15,1,2,,10.9,66
19/01/2020,16,1,2,,10.4,69
19/01/2020,17,1,2,,10,69
19/01/2020,18,1,2,,10,71
19/01/2020,19,1,2,,10,69
19/01/2020,20,,,,10,
19/01/2020,21,,,,10.4,68
19/01/2020,22,1,2,,10.3,67
19/01/2020,23,,,,10.5,63
19/01/2020,24,,,,10.4,60
06/08/2020,24,,,,,
20/01/2020,2,1,2,,10.6,70
20/01/2020,3,1,2,,10.3,74
20/01/2020,4,1,2,,10.5,72
20/01/2020,5,1,2,,10.5,71
20/01/2020,6,1,2,,10.8,71
20/01/2020,7,1.3,2,,11,70
20/01/2020,8,1.3,3,,11.2,67
20/01/2020,9,1.3,2,,10.9,70
20/01/2020,10,2.3,3,,11.2,66
20/01/2020,11,2.1,4,,11.5,66
20/01/2020,12,1.7,3,,11.4,68
20/01/2020,13,1,2,,11.5,68
20/01/2020,14,1,3,,12,62
20/01/2020,15,3,5,,13.1,57
20/01/2020,16,2.3,5,,13,55
20/01/2020,17,4.4,10,,12.5,50
20/01/2020,18,2.1,5,,12.6,58
20/01/2020,19,1,2,,12.6,65
20/01/2020,20,1,2,,12.7,65
20/01/2020,21,1,2,,12.8,63
20/01/2020,22,1,2,,13,63
20/01/2020,23,1,2,,13.5,67
20/01/2020,24,1,2,,14.1,69
21/01/2020,1,1,2,,14.1,69
21/01/2020,2,1,2,,14,68
21/01/2020,3,1,2,,14.1,68
21/01/2020,4,1,2,,13.8,67
21/01/2020,5,1,2,,13.9,66
21/01/2020,6,1,3,,13.9,64
21/01/2020,7,1.3,3,,14.2,65
21/01/2020,8,2.9,8,,14.3,63
21/01/2020,9,1.9,3,,14.5,66
21/01/2020,10,2.1,3,,14.7,65
21/01/2020,11,1.3,2,,14.7,65
21/01/2020,12,1.3,3,,14.9,64
21/01/2020,13,1.3,2,,14.9,66
21/01/2020,14,1.3,2,,14.5,65
21/01/2020,15,1,2,,14.1,66
21/01/2020,16,1.3,3,,13.9,66
21/01/2020,17,1,3,,13.6,68
21/01/2020,18,1,5,,13.6,68
21/01/2020,19,1,4,,13.8,69
21/01/2020,20,1,2,,13.9,69
21/01/2020,21,1,2,,14,68
21/01/2020,22,1,5,,14.1,63
21/01/2020,23,1,2,,14.1,66
21/01/2020,24,1,2,,14,65
22/01/2020,1,1,2,,13.8,64
22/01/2020,2,1,3,,13.6,58
22/01/2020,3,1,3,,13.6,56
22/01/2020,4,1,2,,14.3,58
22/01/2020,5,1,2,,14.3,56
22/01/2020,6,3.4,8,,14.1,48
22/01/2020,7,2.8,6,,13.7,51
22/01/2020,8,2.2,6,,13.8,57
22/01/2020,9,2.6,4,,14.5,57
22/01/2020,10,2.4,4,,14.9,55
22/01/2020,11,2,4,,15.4,56
22/01/2020,12,1.6,5,,15.6,58
22/01/2020,13,1.5,4,,15.7,60
22/01/2020,14,1.3,5,,15.6,61
22/01/2020,15,1,2,,15.2,62
22/01/2020,16,1.3,2,,14.8,62
22/01/2020,17,1,3,,14.5,63
22/01/2020,18,1.3,3,,14.5,65
22/01/2020,19,1,2,,14.5,66
22/01/2020,20,1,2,,14.6,69
22/01/2020,21,1,2,,14.8,70
22/01/2020,22,2.1,3,,15,68
22/01/2020,23,1.3,2,,14.7,67
22/01/2020,24,1,2,,14.6,64
23/01/2020,1,1,2,,14.7,62
23/01/2020,2,1,2,,14.5,58
23/01/2020,3,1.5,3,,14.2,51
23/01/2020,4,1.5,3,,13.6,53
23/01/2020,5,1,3,,13,52
23/01/2020,6,14.2,23,,12.1,27
23/01/2020,7,19.4,39,,11.8,15
23/01/2020,8,30.3,37,,11.4,8
23/01/2020,9,11.2,24,,13.7,26
23/01/2020,10,4,12,,14.6,47
23/01/2020,11,3.8,14,,14.7,49
23/01/2020,12,2.7,9,,14.9,56
23/01/2020,13,2.1,7,,15.5,59
23/01/2020,14,1,3,,15.6,64
23/01/2020,15,1.9,6,,16.2,60
23/01/2020,16,2.8,9,,15.7,58
23/01/2020,17,3.8,10,,14.6,49
23/01/2020,18,6.1,11,,12.8,39
23/01/2020,19,3.3,11,,12.2,33
23/01/2020,20,1.8,6,,11.8,35
23/01/2020,21,1,3,,12.1,40
23/01/2020,22,1,3,,11.3,29
23/01/2020,23,1,2,,10.8,31
23/01/2020,24,1.6,2,,10.4,24
24/01/2020,1,1,2,,11,29
24/01/2020,2,1,2,,11,25
24/01/2020,3,1.5,2,,11.1,21
24/01/2020,4,3.8,5,,11.5,25
24/01/2020,5,1,2,,11.7,30
24/01/2020,6,3.9,6,,12.1,26
24/01/2020,7,18.4,24,,12.7,30
24/01/2020,8,98.8,65,,12.7,10
24/01/2020,9,38.2,35,,13.6,29
24/01/2020,10,4.6,12,,14.1,54
24/01/2020,11,5.9,12,,14.3,57
24/01/2020,12,10,15,,15.2,54
24/01/2020,13,3.8,9,,15.5,59
24/01/2020,14,3.3,8,,15.1,62
24/01/2020,15,2.8,8,,14.9,64
24/01/2020,16,4.3,9,,14.4,64
24/01/2020,17,4.4,13,,13.7,52
24/01/2020,18,12,17,,12.1,28
24/01/2020,19,5.1,17,,10.6,16
24/01/2020,20,7.1,23,,9.7,6
24/01/2020,21,2.3,7,,9,19
24/01/2020,22,1.3,3,,8.8,22
24/01/2020,23,1.8,2,,8.4,21
24/01/2020,24,1.3,3,,8.3,27
25/01/2020,1,1,3,,8.1,28
25/01/2020,2,1,9,,8.8,25
25/01/2020,3,1.7,7,,9.3,31
25/01/2020,4,3.5,7,,10.3,39
25/01/2020,5,1,2,,9.3,32
25/01/2020,6,2.3,7,,9.2,29
25/01/2020,7,71.7,35,,8.9,24
25/01/2020,8,17,19,,10,31
25/01/2020,9,4.5,10,,12.4,44
25/01/2020,10,4.5,11,,14.1,56
25/01/2020,11,3,8,,14.8,59
25/01/2020,12,3.8,12,,15.2,59
25/01/2020,13,1.8,4,,15.1,63
25/01/2020,14,1.4,6,,15.6,63
25/01/2020,15,1.3,6,,15.1,66
25/01/2020,16,1,4,,14.6,68
25/01/2020,17,1,3,,14.1,64
25/01/2020,18,1.5,5,,13.4,61
25/01/2020,19,1,4,,13,59
25/01/2020,20,1,2,,13.1,62
25/01/2020,21,1.3,3,,13,59
25/01/2020,22,1,3,,13,64
25/01/2020,23,1,3,,13.3,67
25/01/2020,24,1,2,,13.3,63
26/01/2020,1,1,2,,13.5,63
26/01/2020,2,3,4,,13.3,56
26/01/2020,3,1,3,,13.1,55
26/01/2020,4,1.3,3,,12,35
26/01/2020,5,1,2,,10.7,19
26/01/2020,6,1,2,,10.6,16
26/01/2020,7,2.7,7,,10.6,21
26/01/2020,8,5.4,8,,9.8,11
26/01/2020,9,9.8,10,,12.1,13
26/01/2020,10,2.1,5,,14.5,50
26/01/2020,11,1,5,,14.6,62
26/01/2020,12,1,5,,14.8,67
26/01/2020,13,1,4,,15,68
26/01/2020,14,1,4,,15.1,71
26/01/2020,15,1,6,,15.1,66
26/01/2020,16,1,6,,14.5,65
26/01/2020,17,1,3,,13.7,68
26/01/2020,18,1,2,,13.5,71
26/01/2020,19,1,2,,13.2,70
26/01/2020,20,1,2,,12.7,64
26/01/2020,21,1,2,,12.6,65
26/01/2020,22,1,2,,12.2,56
26/01/2020,23,1,3,,11.2,40
26/01/2020,24,1,2,,11.4,45
27/01/2020,1,1,2,,11.2,39
27/01/2020,2,1,2,,11.4,44
27/01/2020,3,3.1,3,,9.7,26
27/01/2020,4,1,2,,9.4,21
27/01/2020,5,1.7,6,,9.3,18
27/01/2020,6,6.9,8,,8.7,11
27/01/2020,7,37.4,31,,8.7,4
27/01/2020,8,71.4,36,,9.3,4
27/01/2020,9,52,44,,12.8,15
27/01/2020,10,4.8,14,,13.6,41
27/01/2020,11,,,,14.2,
27/01/2020,12,2.8,11,,14.4,53
27/01/2020,13,2.5,10,,14.6,56
27/01/2020,14,1.6,8,,14.9,59
27/01/2020,15,1,9,,15,64
27/01/2020,16,2,10,,14.7,61
27/01/2020,17,1.8,12,,14.2,60
27/01/2020,18,1.3,13,,13.5,59
27/01/2020,19,1,9,,13.2,63
27/01/2020,20,1,6,,13.2,65
27/01/2020,21,1,5,,13.1,65
27/01/2020,22,1,3,,12.8,67
27/01/2020,23,1,2,,12.6,68
27/01/2020,24,1,2,,12.6,68
28/01/2020,1,1,3,,12.9,64
28/01/2020,2,1,4,,12.9,60
28/01/2020,3,1,3,,12.9,60
28/01/2020,4,1,3,,12.8,58
28/01/2020,5,1,3,,13,57
28/01/2020,6,1,7,,13.1,53
28/01/2020,7,5.3,32,,12.9,27
28/01/2020,8,6.6,33,,13.2,28
28/01/2020,9,4.3,17,,13.7,41
28/01/2020,10,4.4,13,,14.4,43
28/01/2020,11,3,10,,15.4,49
28/01/2020,12,3.3,11,,16,50
28/01/2020,13,1.7,8,,16.5,55
28/01/2020,14,1.3,6,,16.7,58
28/01/2020,15,1,7,,16.3,60
28/01/2020,16,1.9,10,,15.9,59
28/01/2020,17,1.3,10,,15.2,57
28/01/2020,18,2.5,22,,14.9,48
28/01/2020,19,1.9,14,,14.6,52
